FECHA;BTC;ORO
10/8/2017;3422.961368;1284.4
11/8/2017;3650.410734;1286.1
14/8/2017;4321.51;1282.3
15/8/2017;4155.6352;1270.3
16/8/2017;4372.099162;1272.75
17/8/2017;4276.693473;1285.15
18/8/2017;4102.570687;1295.8
21/8/2017;3997.462706;1292.9
22/8/2017;4085.361888;1284.2
23/8/2017;4132.535892;1286.65
24/8/2017;4310.374258;1289
25/8/2017;4357.339336;1285.3
28/8/2017;4383.997067;1285.3
29/8/2017;4585.478663;1318.65
30/8/2017;4575.292667;1308.5
31/8/2017;4739.469833;1311.75
1/9/2017;4921.45768;1320.4
4/9/2017;4312.106335;1333.1
5/9/2017;4424.214533;1335.55
6/9/2017;4612.221235;1337.85
7/9/2017;4620.804685;1343.5
8/9/2017;4340.151487;1346.25
11/9/2017;4204.341804;1334.2
12/9/2017;4163.544879;1326.5
13/9/2017;3855.562625;1327.55
14/9/2017;3247.122283;1324.55
15/9/2017;3725.455917;1322.85
18/9/2017;4099.970117;1312.1
19/9/2017;3910.096313;1309.6
20/9/2017;3868.228452;1311.3
21/9/2017;3617.47;1292.1
22/9/2017;3615.256116;1294.8
25/9/2017;3919.834169;1293.3
26/9/2017;3884.867698;1300.05
27/9/2017;4199.330168;1282.55
28/9/2017;4186.14868;1283.35
29/9/2017;4159.147042;1283.1
2/10/2017;4389.745915;1273.7
3/10/2017;4309.407278;1271.25
4/10/2017;4216.245182;1274.25
5/10/2017;4312.60725;1274.5
6/10/2017;4362.554735;1261.8
9/10/2017;4760.627945;1278.75
10/10/2017;4746.937791;1291.4
11/10/2017;4814.909447;1289.25
12/10/2017;5438.454008;1290.25
13/10/2017;5634.969555;1299.6
16/10/2017;5752.18579;1303.3
17/10/2017;5594.588078;1284.75
18/10/2017;5577.009011;1280.2
19/10/2017;5699.300996;1286.4
20/10/2017;5987.37009;1281.2
23/10/2017;5905.05879;1274.9
24/10/2017;5524.056553;1276.45
25/10/2017;5739.226825;1275
26/10/2017;5890.175173;1273.75
27/10/2017;5764.27;1266.45
30/10/2017;6123.090964;1272
31/10/2017;6443.116986;1270.15
1/11/2017;6741.585617;1277.05
2/11/2017;7036.636955;1279.2
3/11/2017;7170.66;1267.2
6/11/2017;6961.565859;1270.9
7/11/2017;7127.153443;1275.6
8/11/2017;7465.937481;1284
9/11/2017;7154.705514;1284.8
10/11/2017;6578.086604;1284.3
13/11/2017;6536.501331;1277.95
14/11/2017;6605.953276;1274.6
15/11/2017;7294;1282.2
16/11/2017;7839.71199;1280
17/11/2017;7680.417343;1284.35
20/11/2017;8242.038537;1286.2
21/11/2017;8098.425986;1283.3
22/11/2017;8242.051059;1286.95
23/11/2017;8029.540766;1290.35
24/11/2017;8214.487304;1290.5
27/11/2017;9763.641133;1294.9
28/11/2017;9944.485737;1291.85
29/11/2017;9844.372532;1283.85
30/11/2017;9923.515477;1280.2
1/12/2017;10858.83848;1275.5
4/12/2017;11621.23437;1273.45
5/12/2017;11680.59929;1266.3
6/12/2017;13624.27868;1263.7
7/12/2017;16736.81069;1255
8/12/2017;16324.79806;1250.65
11/12/2017;16821.90468;1247.15
12/12/2017;17604.68964;1240.9
13/12/2017;16601.09159;1242.65
14/12/2017;16646.359;1251
15/12/2017;17722.89856;1254.6
18/12/2017;18942.06626;1260.6
19/12/2017;17685.87911;1260.35
